Trace
Swept SA
A.21.04,N9000B
27520000,-92.868766784668
27560000,-100.85173034668
27600000,-93.2057342529297
27640000,-103.383865356445
27680000,-93.3838577270508
27720000,-111.145957946777
27760000,-93.6897659301758
27800000,-109.698600769043
27840000,-91.4445953369141
27880000,-106.4609375
27920000,-91.4256439208984
27960000,-109.082641601563
28000000,-94.6648101806641
28040000,-109.623832702637
28080000,-93.3368759155273
28120000,-110.305946350098
28160000,-91.3150329589844
28200000,-108.336647033691
28240000,-93.0863723754883
28280000,-106.059219360352
28320000,-93.9798736572266
28360000,-109.739082336426
28400000,-93.6563568115234
28440000,-110.428352355957
28480000,-93.0521697998047
28520000,-111.190475463867
28560000,-93.0821685791016
28600000,-108.110450744629
28640000,-92.6117477416992
28680000,-116.918746948242
28720000,-93.6354217529297
28760000,-112.806816101074
28800000,-93.2139587402344
28840000,-99.1928253173828
28880000,-90.4802780151367
28920000,-100.561653137207
28960000,-91.229248046875
29000000,-108.882652282715
29040000,-95.0106201171875
29080000,-108.815902709961
29120000,-90.5678482055664
29160000,-106.907493591309
29200000,-90.5500564575195
29240000,-116.746475219727
29280000,-91.7815322875977
29320000,-102.175819396973
29360000,-93.8012619018555
29400000,-110.520698547363
29440000,-92.3216094970703
29480000,-111.451194763184
29520000,-93.0407104492188
29560000,-115.207466125488
29600000,-94.4847640991211
29640000,-110.565238952637
29680000,-93.8088912963867
29720000,-105.729522705078
29760000,-93.6871795654297
29800000,-107.823287963867
29840000,-91.9113311767578
29880000,-112.525459289551
29920000,-95.4478378295898
29960000,-110.483268737793
30000000,-89.7151794433594
30040000,-112.752593994141
30080000,-95.1482772827148
30120000,-105.925926208496
30160000,-93.4631805419922
30200000,-111.016250610352
30240000,-91.4568176269531
30280000,-109.532997131348
30320000,-93.7094192504883
30360000,-111.747375488281
30400000,-94.7497711181641
30440000,-113.098258972168
30480000,-93.9210052490234
30520000,-109.749465942383
30560000,-90.7537460327148
30600000,-108.76065826416
30640000,-94.9614562988281
30680000,-110.358757019043
30720000,-90.8351440429688
30760000,-107.51993560791
30800000,-96.0353317260742
30840000,-109.623229980469
30880000,-90.2286071777344
30920000,-109.758277893066
30960000,-93.0485000610352
31000000,-115.614151000977
31040000,-92.5003890991211
31080000,-111.53441619873
31120000,-94.1319198608398
31160000,-111.299217224121
31200000,-95.162712097168
31240000,-111.734031677246
31280000,-92.4803314208984
31320000,-103.93635559082
31360000,-92.4039764404297
31400000,-113.382362365723
31440000,-91.5560836791992
31480000,-106.650016784668
31520000,-92.5486450195313
31560000,-106.281051635742
31600000,-89.9104537963867
31640000,-112.817672729492
31680000,-92.4568328857422
31720000,-106.989433288574
31760000,-91.3497619628906
31800000,-104.123123168945
31840000,-92.8630447387695
31880000,-114.892433166504
31920000,-97.327507019043
31960000,-113.526191711426
32000000,-95.3366317749023
32040000,-107.177223205566
32080000,-92.8943023681641
32120000,-108.470741271973
32160000,-92.0392303466797
32200000,-114.632339477539
32240000,-94.3634567260742
32280000,-111.133026123047
32320000,-89.4834976196289
32360000,-103.73184967041
32400000,-91.0696258544922
32440000,-103.928970336914
32480000,-90.0998916625977
32520000,-107.399742126465
32560000,-94.4532775878906
32600000,-105.325256347656
32640000,-94.4999084472656
32680000,-111.496398925781
32720000,-94.4020309448242
32760000,-107.752243041992
32800000,-91.7351608276367
32840000,-110.560157775879
32880000,-91.0532531738281
32920000,-112.435302734375
32960000,-96.2187652587891
33000000,-103.525680541992
33040000,-93.038330078125
33080000,-102.114036560059
33120000,-94.2016525268555
33160000,-109.503387451172
33200000,-92.5523376464844
33240000,-107.961563110352
33280000,-95.1882629394531
33320000,-107.292785644531
33360000,-93.5795516967773
33400000,-106.539215087891
33440000,-93.0433502197266
33480000,-108.271034240723
33520000,-95.2481155395508
33560000,-104.85530090332
33600000,-92.3411712646484
33640000,-105.448928833008
33680000,-90.7324600219727
33720000,-107.288230895996
33760000,-92.7736053466797
33800000,-109.644676208496
33840000,-91.9794158935547
33880000,-114.140167236328
33920000,-92.8154830932617
33960000,-104.092338562012
34000000,-90.3014678955078
34040000,-106.348457336426
34080000,-92.0285034179688
34120000,-109.36058807373
34160000,-96.4989013671875
34200000,-108.196151733398
34240000,-92.9350662231445
34280000,-99.7045288085938
34320000,-92.5959091186523
34360000,-109.830062866211
34400000,-92.0119171142578
34440000,-102.720268249512
34480000,-91.3204345703125
34520000,-109.409721374512
34560000,-89.9028015136719
34600000,-115.11385345459
34640000,-92.0335083007813
34680000,-111.907119750977
34720000,-93.3114700317383
34760000,-108.481819152832
34800000,-90.685173034668
34840000,-113.326034545898
34880000,-90.669677734375
34920000,-103.902824401855
34960000,-93.528923034668
35000000,-112.285827636719
35040000,-92.3823928833008
35080000,-114.123924255371
35120000,-93.0166015625
35160000,-105.007652282715
35200000,-91.5189437866211
35240000,-97.2612762451172
35280000,-91.1857452392578
35320000,-107.048805236816
35360000,-91.5822906494141
35400000,-104.932479858398
35440000,-89.6355590820313
35480000,-110.247253417969
35520000,-96.5137023925781
35560000,-113.06827545166
35600000,-92.3765716552734
35640000,-107.210121154785
35680000,-90.7570877075195
35720000,-106.816009521484
35760000,-93.2221908569336
35800000,-102.711128234863
35840000,-89.7598571777344
35880000,-111.226692199707
35920000,-91.1990356445313
35960000,-109.991775512695
36000000,-94.6888732910156
